year,indicator,total,male,female
2005,lfpr,44.1,67.8,21.3
2005,employment,40,61.5,19.4
2005,unemployment,9.2,9.3,9
2006,lfpr,43.8,67.1,21.4
2006,employment,40,61.3,19.5
2006,unemployment,8.7,8.7,8.9
2007,lfpr,43.8,67.1,21.2
2007,employment,39.9,61.1,19.3
2007,unemployment,8.9,8.8,9.1
2008,lfpr,44.4,67.4,22.1
2008,employment,40,60.8,19.9
2008,unemployment,9.8,9.8,10
2009,lfpr,45.5,67.8,23.8
2009,employment,39.6,59.1,20.7
2009,unemployment,12.9,12.9,13
2010,lfpr,46.3,68.2,25.1
2010,employment,41.2,60.8,22.2
2010,unemployment,11,10.7,11.8
2011,lfpr,47.1,68.7,26.1
2011,employment,42.9,62.9,23.4
2011,unemployment,9,8.4,10.4
2012,lfpr,47.1,68.2,26.6
2012,employment,43.2,62.9,24.1
2012,unemployment,8.3,7.8,9.7
2013,lfpr,48,68.7,27.9
2013,employment,43.7,63.1,24.9
2013,unemployment,8.9,8.1,10.9
2014,lfpr,50.2,71,29.9
2014,employment,45.2,64.6,26.3
2014,unemployment,9.9,9,11.9
2015,lfpr,51.1,71.3,31.3
2015,employment,45.8,64.7,27.3
2015,unemployment,10.3,9.3,12.6
2016,lfpr,51.8,71.8,32.4
2016,employment,46.2,64.8,28
2016,unemployment,10.9,9.6,13.7
2017,lfpr,52.6,72.2,33.4
2017,employment,46.9,65.3,28.8
2017,unemployment,10.9,9.5,13.9
2018,lfpr,53.1,72.5,34.1
2018,employment,47.3,65.6,29:4
2018,unemployment,10.9,9.6,13.7
2019,lfpr,52.9,71.9,34.3
2019,employment,45.6,62.9,28.7
2019,unemployment,13.7,12.4,16.4
2020,lfpr,49.1,67.8,30.8
2020,employment,42.7,59.4,26.2
2020,unemployment,13.1,12.4,14.8
2021,lfpr,51.4,70.3,32.8
2021,employment,45.2,62.8,28
2021,unemployment,12,10.7,14.7
2022,lfpr,53.1,71.4,35.1
2022,employment,47.5,65,30.4
2022,unemployment,10.4,8.9,13.4
2023,lfpr,53.3,71.2,35.8
2023,employment,48.3,65.7,31.3
2023,unemployment,9.4,7.7,12.6
2024,lfpr,54.2,72,36.8
2024,employment,49.5,66.9,32.5
2024,unemployment,8.7,7.1,11.8
2025,lfpr,53.5,71.3,36.2
2025,employment,49,66.4,32.1
2025,unemployment,8.3,6.8,11.3