year;employment;emp_rate;unempl_rate;coop_emp;coop_count;coop_turnover;coop_turnover_real;assoc_count;assoc_income;association_income_real;foundation_count;foundation_income;foundation_income_real;total_income;total_social_economy_income_real;cpi_index;gdp_growth
2009;20534000;39.6;12.9;35968;9826;9389911771;14881001222;81468;3481403960;5517280443;4467;;;12871315731;20398281665;63.10;-4.9
2010;21810000;41.2;11.0;37124;9698;10107671671;14755725067;84492;3526278206;5147851396;4515;;;13633949877;19903576463;68.50;8.5
2011;23166000;42.9;9.0;36006;8980;11501255420;15776756406;87427;4286096224;5879418689;4586;;;15787351644;21656175095;72.90;11.0
2012;23738000;43.2;8.3;36433;7968;12838797653;16169770344;91236;6439102376;8109700725;4673;;;19277900029;24279471069;79.40;4.8
2013;24486000;43.7;8.9;35976;7863;13986776439;16397158780;95995;8278460230;9705111642;4781;;;22265236669;26102270421;85.30;8.5
2014;25774000;45.2;9.9;35268;7823;14276971786;15368107412;101786;9601851245;10335684871;4914;;;23878823031;25703792283;92.9;4.6
2015;26501000;45.8;10.3;36656;7905;15719433978;15719433978;105423;9772541833;9772541833;5034;55182000000.00;55182000000;80673975811;80673975811;100;5.8
2016;27126000;46.2;10.9;38081;8375;17885611015;16591475895;107097;11212783300;10401468739;5029;65896000000.00;61128014842;90226409158;88120959476;107.8;3.3
2017;28075000;46.9;10.9;40951;9733;23076600619;19262604857;109541;14517705254;12118284853;5113;65333000000.00;54535058431;92129364304;85915948141;119.8;7.8
2018;28691000;47.3;10.9;42164;10403;30421603096;21838911052;112645;18467779768;13257559058;5229;73720000000.00;52921751615;101811134479;88018221726;139.3;3.5
2019;28042000;45.6;13.7;40463;10445;37048643497;23083266976;116536;20496421366;12770355991;5332;82487000000.00;51393769470;108938834333;87247392438;160.5;1.3
2020;26695000;42.7;13.1;41563;10546;43643800110;24219644900;119574;23868569925;13245599292;5425;95757516233.00;53139576156;120651946191;90604820349;180.2;1.8
2021;28797000;45.2;12.0;43359;10966;60600212312;28120748173;119241;33177610739;15395643034;5585;117493812670.00;54521490798;148299313849;98037882005;215.5;11.8
2022;30752000;47.5;10.4;45284;11276;126331932555;34015059923;99280;45035572134;12125894490;5748;174823544432.00;47071498232;218439002921;93212452644;371.4;5.4
2023;31632000;48.3;9.4;45884;11374;215117726991;37647484598;98149;105050678757;18384788022;5981;279582617840.00;48929404592;369097810340;104961677212;571.4;5.0
2024;32620000;49.5;8.7;45881;11977;330040621230;36444414888;99925;140603581827;15526013894;6200;432322138882.00;47738752085;518382955142;99709180868;905.6;3.3